label,message
sports,Bangladesh wins the cricket match against India.
sports,Real Madrid defeats Barcelona in El Clasico.
sports,Olympics 2024 will be hosted in Paris.
sports,Serena Williams announces retirement from tennis.
sports,Lionel Messi wins FIFA Best Player award.
sports,Virat Kohli scores century against Australia.
sports,Brazil advances to FIFA World Cup semi-finals.
sports,England wins T20 World Cup final match.
sports,New world record set in marathon event.
sports,Pakistan defeats Sri Lanka in ODI series.
sports,Bangladesh wins the cricket match against India.
sports,Real Madrid defeats Barcelona in El Clasico.
sports,Olympics 2024 will be hosted in Paris.
sports,Serena Williams announces retirement from tennis.
sports,Lionel Messi wins FIFA Best Player award.
sports,Virat Kohli scores century against Australia.
sports,Brazil advances to FIFA World Cup semi-finals.
sports,England wins T20 World Cup final match.
sports,New world record set in marathon event.
sports,Pakistan defeats Sri Lanka in ODI series.
sports,Bangladesh wins the cricket match against India.
sports,Real Madrid defeats Barcelona in El Clasico.
sports,Olympics 2024 will be hosted in Paris.
sports,Serena Williams announces retirement from tennis.
sports,Lionel Messi wins FIFA Best Player award.
sports,Virat Kohli scores century against Australia.
sports,Brazil advances to FIFA World Cup semi-finals.
sports,England wins T20 World Cup final match.
sports,New world record set in marathon event.
sports,Pakistan defeats Sri Lanka in ODI series.
sports,Bangladesh wins the cricket match against India.
sports,Real Madrid defeats Barcelona in El Clasico.
sports,Olympics 2024 will be hosted in Paris.
sports,Serena Williams announces retirement from tennis.
sports,Lionel Messi wins FIFA Best Player award.
sports,Virat Kohli scores century against Australia.
sports,Brazil advances to FIFA World Cup semi-finals.
sports,England wins T20 World Cup final match.
sports,New world record set in marathon event.
sports,Pakistan defeats Sri Lanka in ODI series.
sports,Bangladesh wins the cricket match against India.
sports,Real Madrid defeats Barcelona in El Clasico.
sports,Olympics 2024 will be hosted in Paris.
sports,Serena Williams announces retirement from tennis.
sports,Lionel Messi wins FIFA Best Player award.
sports,Virat Kohli scores century against Australia.
sports,Brazil advances to FIFA World Cup semi-finals.
sports,England wins T20 World Cup final match.
sports,New world record set in marathon event.
sports,Pakistan defeats Sri Lanka in ODI series.
sports,Bangladesh wins the cricket match against India.
sports,Real Madrid defeats Barcelona in El Clasico.
sports,Olympics 2024 will be hosted in Paris.
sports,Serena Williams announces retirement from tennis.
sports,Lionel Messi wins FIFA Best Player award.
sports,Virat Kohli scores century against Australia.
sports,Brazil advances to FIFA World Cup semi-finals.
sports,England wins T20 World Cup final match.
sports,New world record set in marathon event.
sports,Pakistan defeats Sri Lanka in ODI series.
sports,Bangladesh wins the cricket match against India.
sports,Real Madrid defeats Barcelona in El Clasico.
sports,Olympics 2024 will be hosted in Paris.
sports,Serena Williams announces retirement from tennis.
sports,Lionel Messi wins FIFA Best Player award.
sports,Virat Kohli scores century against Australia.
sports,Brazil advances to FIFA World Cup semi-finals.
sports,England wins T20 World Cup final match.
sports,New world record set in marathon event.
sports,Pakistan defeats Sri Lanka in ODI series.
sports,Bangladesh wins the cricket match against India.
